"UID";"A";"B";"C";"D";"Modified Date"
"CWK1";"641";"756";"432";"30";"2022-07-31"
"74P9";"716";"626";"449";"F6";"2022-07-31"
"VOUU";"621";"606";"248";"6H";"2022-07-31"
"CF4L";"613";"353";"126";"IB";"2022-07-31"
"FIE7";"524";"543";"467";"AD";"2022-07-31"
"AR9J";"464";"413";"451";"VR";"2022-07-31"
"NUG2";"362";"409";"339";"MA";"2022-07-31"
"RYUO";"337";"370";"391";"O7";"2022-07-31"
"PNC6";"307";"188";"312";"O6";"2022-07-31"
"O5Z3";"242";"139";"98";"F9";"2022-07-31"
"LOXT";"193";"138";"496";"QW";"2022-07-31"
"AJW7";"124";"105";"430";"SO";"2022-07-31"
"QT5T";"59";"50";"478";"WQ";"2022-07-31"
"86H1";"11";"13";"295";"6O";"2022-07-31"
"XNSX";"853";"967";"296";"0K";"2022-07-30"
"KMNC";"778";"712";"336";"JW";"2022-07-30"
"UH84";"726";"695";"62";"7X";"2022-07-30"
"NYTX";"775";"455";"153";"SO";"2022-07-30"
"SV3M";"706";"444";"179";"0E";"2022-07-30"
"NOCL";"674";"419";"225";"SJ";"2022-07-30"
"J58R";"495";"531";"342";"WG";"2022-07-30"
"KSO9";"460";"466";"291";"KP";"2022-07-30"
"DBUB";"416";"248";"150";"5P";"2022-07-30"
"7NCU";"415";"388";"379";"0S";"2022-07-30"
"VY7Z";"305";"278";"369";"LT";"2022-07-30"
"7RBV";"312";"265";"299";"VW";"2022-07-30"
"P0EZ";"226";"219";"136";"PF";"2022-07-30"
"LHIZ";"158";"125";"452";"Y1";"2022-07-30"
"95DW";"132";"104";"389";"GY";"2022-07-30"
"YFRP";"65";"48";"355";"MO";"2022-07-30"
"INTI";"12";"10";"259";"3M";"2022-07-30"
"7X55";"783";"671";"233";"WU";"2022-07-29"
"EH3D";"770";"474";"384";"2U";"2022-07-29"
"BLA2";"782";"645";"343";"XX";"2022-07-29"
"9D95";"725";"590";"362";"KU";"2022-07-29"
"BCUD";"724";"664";"419";"52";"2022-07-29"
"VFZ5";"664";"461";"115";"1H";"2022-07-29"
"8YIC";"603";"504";"219";"4A";"2022-07-29"
"05IM";"453";"393";"495";"HA";"2022-07-29"
"1YKP";"444";"399";"348";"9U";"2022-07-29"
"5O7Z";"428";"301";"328";"3Q";"2022-07-29"
"YVFJ";"355";"300";"421";"ZS";"2022-07-29"
"W3ZZ";"257";"210";"22";"PQ";"2022-07-29"
"DJ58";"244";"206";"333";"3F";"2022-07-29"
"17CG";"160";"117";"219";"TC";"2022-07-29"
"8STT";"122";"85";"35";"41";"2022-07-29"
"IHWG";"72";"49";"290";"8F";"2022-07-29"
"AKHH";"14";"13";"343";"Z9";"2022-07-29"
"1Z2P";"826";"673";"262";"G9";"2022-07-28"
"4NRL";"889";"801";"331";"6A";"2022-07-28"
"T56D";"779";"698";"143";"2L";"2022-07-28"
"S9AF";"796";"510";"223";"CU";"2022-07-28"
"7UIM";"658";"447";"440";"LC";"2022-07-28"
"F6R8";"592";"497";"180";"0Q";"2022-07-28"
"6RU1";"593";"612";"133";"NP";"2022-07-28"
"SGXU";"513";"490";"212";"QY";"2022-07-28"
"KOC3";"495";"399";"124";"2H";"2022-07-28"
"D060";"402";"428";"45";"RS";"2022-07-28"
"NZIU";"341";"235";"385";"ZR";"2022-07-28"
"Q0AA";"295";"162";"258";"3V";"2022-07-28"
"3QW1";"214";"190";"258";"SQ";"2022-07-28"
"IUCB";"164";"178";"120";"OJ";"2022-07-28"
"1KKB";"128";"74";"292";"CU";"2022-07-28"
"CFRA";"70";"55";"126";"CI";"2022-07-28"
"Q76K";"16";"10";"383";"M9";"2022-07-28"
"X460";"882";"940";"224";"6I";"2022-07-27"
"WIZH";"760";"540";"348";"28";"2022-07-27"
"2ZBU";"783";"653";"119";"P3";"2022-07-27"
"QF7U";"733";"576";"18";"E9";"2022-07-27"
"2LIQ";"676";"569";"138";"WL";"2022-07-27"
"S1JT";"605";"638";"391";"YQ";"2022-07-27"
"WKNM";"538";"377";"380";"VX";"2022-07-27"
"XDWZ";"551";"320";"130";"UX";"2022-07-27"
"LQUF";"439";"496";"157";"T1";"2022-07-27"
"IXBX";"403";"320";"6";"XF";"2022-07-27"
"R6FD";"365";"332";"212";"47";"2022-07-27"
"GNLL";"283";"301";"259";"0F";"2022-07-27"
"TI1T";"246";"254";"95";"V3";"2022-07-27"
"JONN";"176";"179";"289";"XT";"2022-07-27"
"EJD1";"120";"112";"42";"TU";"2022-07-27"
"Z1XA";"77";"48";"445";"Z6";"2022-07-27"
"3BQQ";"17";"11";"191";"WS";"2022-07-27"
"JJ5L";"973";"498";"382";"FB";"2022-07-26"
"I5F7";"821";"715";"22";"AE";"2022-07-26"
"0VPC";"786";"507";"273";"94";"2022-07-26"
"1ATC";"712";"742";"339";"ZP";"2022-07-26"
"NM9L";"603";"604";"52";"3A";"2022-07-26"
"P51H";"555";"590";"222";"QN";"2022-07-26"
"4AGR";"539";"424";"67";"5C";"2022-07-26"
"LKVY";"460";"416";"49";"XT";"2022-07-26"
"C90M";"462";"281";"270";"K6";"2022-07-26"
"SP8A";"426";"320";"495";"Z9";"2022-07-26"
"7MO1";"364";"337";"232";"R8";"2022-07-26"
"J3GL";"263";"211";"196";"W3";"2022-07-26"
"0XA2";"226";"180";"71";"JO";"2022-07-26"
"3GB8";"172";"169";"222";"P4";"2022-07-26"
"19FU";"118";"116";"21";"GX";"2022-07-26"
"AC41";"66";"44";"209";"JT";"2022-07-26"
"D91K";"17";"15";"71";"AG";"2022-07-26"
"TB7K";"835";"560";"80";"0P";"2022-07-25"
"HOJN";"894";"511";"23";"MM";"2022-07-25"
"YT2R";"809";"526";"173";"RP";"2022-07-25"
"4NMV";"653";"555";"346";"3K";"2022-07-25"
"A0DP";"686";"684";"382";"64";"2022-07-25"
"XTDR";"596";"510";"310";"SE";"2022-07-25"
"GAQX";"524";"312";"308";"O8";"2022-07-25"
"42JF";"535";"512";"55";"VD";"2022-07-25"
"3NWK";"476";"463";"188";"2A";"2022-07-25"
"FJ9C";"387";"247";"221";"7F";"2022-07-25"
"HIS6";"328";"373";"29";"FD";"2022-07-25"
"C0HV";"270";"296";"149";"XF";"2022-07-25"
"GSTF";"211";"138";"461";"YL";"2022-07-25"
"WJSI";"193";"177";"308";"GK";"2022-07-25"
"5ACM";"115";"70";"181";"GJ";"2022-07-25"
"NVT8";"72";"57";"268";"0C";"2022-07-25"
"A04H";"17";"10";"458";"VC";"2022-07-25"
"XQ6J";"890";"568";"375";"3I";"2022-07-24"
"G1N8";"858";"552";"150";"IB";"2022-07-24"
"5F9U";"816";"824";"153";"5Y";"2022-07-24"
"7SAY";"737";"436";"104";"RG";"2022-07-24"
"O9AJ";"669";"490";"453";"GO";"2022-07-24"
"131S";"551";"441";"102";"ED";"2022-07-24"
"8IZ0";"594";"571";"397";"9A";"2022-07-24"
"XP41";"455";"523";"175";"L2";"2022-07-24"
"NC3V";"455";"254";"276";"T8";"2022-07-24"
"Y2ZD";"423";"440";"83";"Y4";"2022-07-24"
"0HC0";"355";"226";"166";"A0";"2022-07-24"
"0JQ2";"306";"307";"280";"2C";"2022-07-24"
"HROW";"236";"135";"298";"T9";"2022-07-24"
"CMD2";"174";"105";"178";"DG";"2022-07-24"
"O7KM";"133";"103";"241";"TT";"2022-07-24"
"I16D";"68";"80";"179";"PT";"2022-07-24"
"G027";"20";"19";"172";"E5";"2022-07-24"
"KNC5";"829";"585";"88";"ID";"2022-07-23"
"TGQZ";"913";"764";"20";"I4";"2022-07-23"
"B92Q";"844";"789";"475";"E0";"2022-07-23"
"884X";"698";"443";"15";"O0";"2022-07-23"
"SW9B";"630";"692";"66";"Y9";"2022-07-23"
"ROLE";"592";"443";"81";"O6";"2022-07-23"
"X6MR";"613";"545";"342";"TH";"2022-07-23"
"CKF6";"457";"411";"54";"MA";"2022-07-23"
"W7O2";"445";"316";"315";"8Y";"2022-07-23"
"MANC";"383";"327";"28";"97";"2022-07-23"
"E38D";"317";"242";"388";"4N";"2022-07-23"
"3D9A";"270";"170";"188";"8Z";"2022-07-23"
"J6SG";"251";"235";"410";"40";"2022-07-23"
"OTUJ";"178";"173";"417";"XY";"2022-07-23"
"S1TQ";"126";"111";"287";"3B";"2022-07-23"
"I6E3";"75";"47";"28";"JK";"2022-07-23"
"PHQR";"20";"16";"120";"4K";"2022-07-23"
"76FE";"863";"839";"460";"W5";"2022-07-22"
"2XCQ";"749";"515";"30";"KM";"2022-07-22"
"9GZ4";"706";"820";"18";"WB";"2022-07-22"
"DGTO";"674";"540";"172";"L3";"2022-07-22"
"QIB0";"603";"701";"164";"EZ";"2022-07-22"
"XE10";"580";"579";"242";"ZC";"2022-07-22"
"P76W";"577";"429";"235";"2P";"2022-07-22"
"QNI0";"478";"435";"372";"GA";"2022-07-22"
"GFG6";"428";"477";"155";"6U";"2022-07-22"
"TH7X";"441";"351";"260";"AJ";"2022-07-22"
"HQAZ";"334";"339";"56";"YL";"2022-07-22"
"44JH";"260";"269";"333";"4D";"2022-07-22"
"XTOE";"228";"173";"455";"RK";"2022-07-22"
"VYW7";"192";"148";"260";"RF";"2022-07-22"
"51A6";"132";"137";"381";"N3";"2022-07-22"
"VZ38";"74";"67";"64";"BO";"2022-07-22"
"GVXK";"22";"12";"338";"FR";"2022-07-22"
"DGLX";"895";"601";"52";"WT";"2022-07-21"
"69A8";"788";"467";"290";"RI";"2022-07-21"
"LX8V";"751";"584";"293";"S6";"2022-07-21"
"DHPC";"722";"489";"376";"1B";"2022-07-21"
"B6K2";"619";"487";"209";"0O";"2022-07-21"
"TH5C";"559";"463";"108";"8N";"2022-07-21"
"BUET";"504";"399";"79";"HY";"2022-07-21"
"6K7T";"557";"455";"241";"DH";"2022-07-21"
"IDO4";"407";"319";"113";"CX";"2022-07-21"
"3UTX";"385";"404";"187";"8A";"2022-07-21"
"DEN0";"308";"197";"420";"CU";"2022-07-21"
"63WF";"271";"317";"317";"9O";"2022-07-21"
"5GJA";"216";"220";"198";"VU";"2022-07-21"
"I62D";"172";"190";"299";"89";"2022-07-21"
"VGE9";"137";"143";"263";"0F";"2022-07-21"
"9NZV";"77";"76";"88";"RZ";"2022-07-21"
"TR21";"23";"15";"28";"AL";"2022-07-21"
"OU3B";"908";"977";"22";"YC";"2022-07-20"
"5IIR";"820";"599";"365";"ML";"2022-07-20"
"H9HX";"716";"588";"293";"7U";"2022-07-20"
"IDUY";"651";"748";"464";"KL";"2022-07-20"
"PM08";"672";"712";"497";"HL";"2022-07-20"
"TI5J";"557";"507";"112";"UK";"2022-07-20"
"VFHF";"513";"499";"468";"2A";"2022-07-20"
"EUM1";"551";"302";"180";"55";"2022-07-20"
"4HK2";"411";"275";"75";"WC";"2022-07-20"
"FZ09";"395";"407";"255";"35";"2022-07-20"
"03JJ";"363";"344";"366";"RR";"2022-07-20"
"4XUU";"280";"315";"269";"DI";"2022-07-20"
"NRDX";"215";"193";"341";"WW";"2022-07-20"
"4NXT";"179";"164";"266";"AV";"2022-07-20"
"KHQ1";"136";"117";"97";"BT";"2022-07-20"
"OIZ8";"72";"43";"289";"JM";"2022-07-20"
"5XM3";"21";"16";"237";"MW";"2022-07-20"
"I16W";"830";"900";"193";"2A";"2022-07-19"
"6RCL";"867";"494";"1";"89";"2022-07-19"
"DIPG";"845";"538";"267";"85";"2022-07-19"
"QMRB";"749";"495";"165";"QT";"2022-07-19"
"X4WZ";"687";"511";"320";"MJ";"2022-07-19"
"BDRP";"673";"426";"445";"2F";"2022-07-19"
"5WQZ";"519";"386";"41";"CD";"2022-07-19"
"FZHE";"456";"539";"322";"7N";"2022-07-19"
"F4Q7";"481";"392";"99";"DO";"2022-07-19"
"AE0F";"379";"307";"340";"V5";"2022-07-19"
"V311";"357";"291";"157";"IA";"2022-07-19"
"ZE21";"290";"289";"400";"EK";"2022-07-19"
"NEJ7";"216";"194";"73";"2L";"2022-07-19"
"E3JI";"201";"182";"401";"27";"2022-07-19"
"RX01";"123";"125";"80";"84";"2022-07-19"
"K61X";"72";"63";"152";"34";"2022-07-19"
"D8EH";"23";"14";"203";"Y7";"2022-07-19"
"GNZN";"829";"583";"20";"8T";"2022-07-18"
"G7DX";"755";"590";"101";"I3";"2022-07-18"
"0OX7";"778";"849";"309";"5I";"2022-07-18"
"6PET";"663";"447";"30";"AO";"2022-07-18"
"HFU4";"709";"581";"25";"0J";"2022-07-18"
"YBFF";"594";"539";"277";"WF";"2022-07-18"
"UYRV";"591";"625";"167";"N7";"2022-07-18"
"5LJ3";"495";"348";"48";"PH";"2022-07-18"
"1FRD";"504";"380";"480";"MP";"2022-07-18"
"20HQ";"428";"282";"316";"4A";"2022-07-18"
"4IHQ";"310";"206";"35";"OM";"2022-07-18"
"RGC9";"323";"258";"41";"22";"2022-07-18"
"D3WG";"261";"229";"247";"L5";"2022-07-18"
"BCAB";"168";"201";"494";"ZV";"2022-07-18"
"TM0P";"127";"82";"43";"0W";"2022-07-18"
"KPJZ";"78";"82";"137";"JP";"2022-07-18"
"IL5H";"24";"17";"135";"NP";"2022-07-18"
"LVZ1";"851";"753";"31";"8W";"2022-07-17"
"5QY8";"897";"602";"467";"FM";"2022-07-17"
"5D06";"777";"563";"296";"DQ";"2022-07-17"
"ADZQ";"794";"499";"146";"A0";"2022-07-17"
"LF8P";"703";"375";"224";"E4";"2022-07-17"
"JRQG";"582";"370";"417";"25";"2022-07-17"
"Z4CA";"513";"400";"243";"KC";"2022-07-17"
"BIYC";"501";"306";"56";"81";"2022-07-17"
"01F1";"419";"469";"266";"48";"2022-07-17"
"U2UX";"441";"314";"324";"RX";"2022-07-17"
"XYQU";"336";"268";"135";"YR";"2022-07-17"
"CT0I";"278";"318";"338";"TF";"2022-07-17"
"EV6Q";"247";"167";"31";"68";"2022-07-17"
"AV6S";"206";"153";"268";"PN";"2022-07-17"
"24V6";"136";"78";"44";"H3";"2022-07-17"
"LEGF";"82";"74";"292";"OM";"2022-07-17"
"QK9M";"25";"20";"64";"57";"2022-07-17"
"PYLM";"945";"642";"424";"LT";"2022-07-16"
"I98V";"776";"685";"34";"FQ";"2022-07-16"
"F0XG";"793";"649";"398";"RD";"2022-07-16"
"V6UR";"795";"693";"242";"85";"2022-07-16"
"WYFP";"678";"486";"189";"UT";"2022-07-16"
